Nr;Altersgruppe;Geschlecht;Verheiratet;Kinderzahl;Abschluss;Beruf;Familieneinkommen;Buch;Belief;Plausibility;Zweifel
18;50-65;m;nein;0;keiner;Rentner;1000-1999;Buch_A;0.8805564647807594;0.8805564647807581;0.11944353521924189
19;50-65;w;nein;1;Hochschule;Angestellter;2000-2999;Buch_C;1.0000000000000016;1.0;0.0
20;25-35;m;nein;1;Gymnasium;Selbstaendig;5000 und mehr;Buch_C;1.000000000000002;1.0;0.0
21;19-24;m;ja;0;Gymnasium;Angestellter;2000-2999;Buch_C;1.000000000000019;0.9999999999999858;1.4210854715202004E-14
22;25-35;w;ja;4;Hochschule;Hausfrau;2000-2999;Buch_C;1.0000000000000009;1.0;0.0
23;36-49;w;ja;1;keiner;Angestellter;2000-2999;Buch_A;0.8228761939840585;0.8228761939840478;0.17712380601595223
24;50-65;m;ja;2;Hauptschule;Angestellter;2000-2999;Buch_C;1.0000000000000069;1.0;0.0
25;19-24;m;nein;0;Gymnasium;Angestellter;3000-3999;Buch_C;1.0000000000000029;0.9999999999999907;9.325873406851315E-15
26;36-49;m;ja;0;Hochschule;Angestellter;2000-2999;Buch_C;1.000000000000002;1.0;0.0
27;36-49;w;ja;2;keiner;Arbeiter;1000-1999;Buch_A;0.9715586397084227;0.9715586397084186;0.028441360291581397
28;25-35;m;nein;0;Hochschule;Arbeitslos;<1000;Buch_C;1.0000000000000044;1.0;0.0
29;50-65;w;nein;0;Promotion;Hausfrau;3000-3999;Buch_C;1.00000000000001;1.0;0.0
30;<18;w;nein;0;keiner;Hausfrau;2000-2999;Buch_A;0.7326481927536994;0.732648192753693;0.267351807246307
31;36-49;m;ja;2;Hochschule;Selbstaendig;2000-2999;Buch_C;1.0000000000000009;1.0;0.0
32;<18;m;nein;0;Realschule;Angestellter;1000-1999;Buch_C;0.9999999999999958;0.9999999999999951;4.884981308350689E-15
33;36-49;m;nein;0;keiner;Angestellter;1000-1999;Buch_A;0.9453551748751579;0.9453551748751572;0.05464482512484281
34;36-49;w;nein;0;Hochschule;Selbstaendig;5000 und mehr;Buch_C;1.000000000000001;1.0;0.0
35;19-24;w;nein;0;keiner;Selbstaendig;3000-3999;Buch_B;0.9848621835076494;0.9848621835076484;0.015137816492351575
36;50-65;m;nein;0;Hochschule;Rentner;2000-2999;Buch_C;1.0000000000000016;1.0;0.0
37;<18;m;nein;0;keiner;Angestellter;2000-2999;Buch_A;0.9798902034368592;0.9798902034368591;0.020109796563140936
38;19-24;w;nein;0;keiner;Hausfrau;4000-4999;Buch_B;0.9992320655673912;0.9992320655673894;7.679344326105841E-4
39;25-35;m;nein;0;keiner;Arbeiter;2000-2999;Buch_A;0.8913421404232552;0.8913421404232521;0.1086578595767479
40;25-35;w;nein;0;Hochschule;Selbstaendig;2000-2999;Buch_C;1.000000000000003;1.0;0.0
41;25-35;w;nein;1;keiner;Hausfrau;4000-4999;Buch_C;1.0000000000001286;0.9999999999999981;1.887379141862766E-15
42;25-35;w;nein;0;Realschule;Angestellter;2000-2999;Buch_C;1.000000000000003;0.9999999999999998;2.220446049250313E-16
43;36-49;m;ja;1;Hochschule;Fuehrungskraft;5000 und mehr;Buch_C;1.0000000000000004;1.0;0.0
44;36-49;m;nein;1;Hauptschule;Angestellter;3000-3999;Buch_C;1.0000000000000007;1.0;0.0
45;25-35;m;nein;0;Hochschule;Selbstaendig;3000-3999;Buch_C;1.0000000000000007;1.0;0.0
46;25-35;m;nein;1;Hochschule;Lehrer;2000-2999;Buch_C;1.0000000000000004;1.0;0.0
47;19-24;w;nein;0;Hauptschule;Angestellter;2000-2999;Buch_B;0.9923733664643661;0.9923733664643659;0.007626633535634086
48;25-35;w;ja;1;Hochschule;Lehrer;2000-2999;Buch_C;1.000000000000001;1.0;0.0
49;25-35;m;ja;3;Promotion;Fuehrungskraft;5000 und mehr;Buch_C;1.0000000000000004;1.0;0.0
50;25-35;w;ja;0;Hochschule;Hausfrau;3000-3999;Buch_C;1.0000000000000118;1.0;0.0
51;19-24;w;nein;0;keiner;Angestellter;3000-3999;Buch_B;0.9848621835076498;0.9848621835076485;0.015137816492351464
52;<18;m;ja;0;keiner;Angestellter;2000-2999;Buch_A;0.9794321527080627;0.9794321527080599;0.020567847291940056
53;36-49;w;ja;3;keiner;Angestellter;2000-2999;Buch_A;0.976642017288216;0.976642017288213;0.023357982711787018
54;<18;w;ja;0;Realschule;Angestellter;2000-2999;Buch_B;0.7375367580290518;0.7375367580290404;0.2624632419709596
55;19-24;m;nein;0;keiner;Arbeiter;1000-1999;Buch_A;0.9925205025118156;0.992520502511815;0.007479497488184994
56;<18;m;nein;0;keiner;Angestellter;3000-3999;Buch_C;0.9999999999999817;0.9999999999999877;1.2323475573339238E-14
57;36-49;m;nein;1;Hauptschule;Angestellter;2000-2999;Buch_C;1.0000000000000007;1.0;0.0
58;19-24;w;nein;0;keiner;Hausfrau;2000-2999;Buch_B;0.7796895609595299;0.7796895609595276;0.22031043904047243
59;19-24;w;nein;0;Hauptschule;Hausfrau;1000-1999;Buch_B;0.9982738045327986;0.9982738045327969;0.0017261954672030955
60;19-24;w;nein;0;Gymnasium;Angestellter;2000-2999;Buch_B;0.9886035081300922;0.9886035081300907;0.01139649186990932
61;19-24;w;nein;0;Gymnasium;Angestellter;2000-2999;Buch_B;0.9886035081300922;0.9886035081300907;0.01139649186990932
62;>65;w;ja;1;Hochschule;Rentner;2000-2999;Buch_C;1.000000000000001;1.0;0.0
63;36-49;w;nein;0;keiner;Hausfrau;<1000;Buch_A;0.9793420669250117;0.9793420669250081;0.020657933074991863
64;36-49;w;nein;0;Gymnasium;Angestellter;2000-2999;Buch_C;1.0000000000000293;1.0;0.0
65;19-24;m;nein;0;Realschule;Arbeitslos;2000-2999;Buch_C;1.0000000000000027;0.9999999999999987;1.3322676295501878E-15
66;25-35;m;nein;1;keiner;Arbeitslos;3000-3999;Buch_C;1.000000000000006;0.9999999999999999;1.1102230246251565E-16
67;50-65;m;ja;2;Realschule;Arbeiter;2000-2999;Buch_C;1.0000000000000009;0.9999999999999997;3.3306690738754696E-16
68;19-24;w;ja;0;Gymnasium;Hausfrau;3000-3999;Buch_B;0.9981268852835292;0.9981268852835274;0.001873114716472557
69;36-49;w;ja;0;Hochschule;Angestellter;2000-2999;Buch_C;1.000000000000006;1.0;0.0
70;50-65;w;nein;0;Realschule;Angestellter;1000-1999;Buch_C;1.0000000000000044;0.9999999999999992;7.771561172376096E-16
71;50-65;m;nein;0;Realschule;Arbeitslos;1000-1999;Buch_C;1.0000000000000053;0.9999999999999997;3.3306690738754696E-16
72;36-49;m;nein;0;Realschule;Angestellter;2000-2999;Buch_C;0.9999999999999998;0.9999999999999996;4.440892098500626E-16
73;19-24;m;nein;0;keiner;Arbeitslos;1000-1999;Buch_A;0.9707385919317052;0.9707385919317025;0.029261408068297468
74;<18;m;nein;0;keiner;Angestellter;2000-2999;Buch_A;0.9798902034368592;0.9798902034368591;0.020109796563140936
75;36-49;m;ja;3;keiner;Arbeiter;2000-2999;Buch_A;0.987241512352436;0.9872415123524345;0.012758487647565486
76;19-24;m;nein;0;Realschule;Arbeiter;2000-2999;Buch_C;0.9999999999999997;0.9999999999999968;3.219646771412954E-15
77;19-24;m;nein;0;keiner;Arbeiter;3000-3999;Buch_C;1.0000000000000284;0.9999999999999873;1.2656542480726785E-14
78;36-49;m;nein;0;Realschule;Arbeitslos;1000-1999;Buch_C;1.0000000000000044;0.9999999999999993;6.661338147750939E-16
79;19-24;w;ja;1;Gymnasium;Hausfrau;2000-2999;Buch_B;0.9959085112537357;0.9959085112537343;0.004091488746265748
80;19-24;m;nein;0;keiner;Angestellter;2000-2999;Buch_A;0.95586245406975;0.9558624540697498;0.04413754593025021
81;25-35;m;nein;0;keiner;Arbeiter;1000-1999;Buch_A;0.9364850045950832;0.9364850045950802;0.06351499540491978
82;25-35;m;nein;1;Hochschule;Angestellter;2000-2999;Buch_C;1.0000000000000007;1.0;0.0
83;36-49;m;nein;1;Hochschule;Fuehrungskraft;5000 und mehr;Buch_C;1.0;1.0;0.0
84;19-24;w;nein;0;keiner;Angestellter;1000-1999;Buch_B;0.49856771600107;0.4985677160010687;0.5014322839989314
85;19-24;m;nein;0;keiner;Arbeiter;2000-2999;Buch_A;0.9866361612818332;0.9866361612818325;0.013363838718167487
86;36-49;m;nein;0;keiner;Arbeitslos;1000-1999;Buch_A;0.9364850045950832;0.9364850045950801;0.0635149954049199
87;<18;w;nein;0;keiner;Angestellter;2000-2999;Buch_A;0.8516259117550418;0.851625911755038;0.148374088244962
88;36-49;m;ja;3;keiner;Selbstaendig;1000-1999;Buch_A;0.9737450581846295;0.9737450581846272;0.0262549418153728
89;36-49;m;nein;0;keiner;Angestellter;3000-3999;Buch_C;1.0000000000000024;0.9999999999999983;1.6653345369377348E-15
90;19-24;m;nein;0;Gymnasium;Arbeiter;2000-2999;Buch_C;1.0000000000000313;1.0;0.0
91;19-24;w;nein;0;keiner;Angestellter;2000-2999;Buch_B;0.6140422059182578;0.6140422059182565;0.38595779408174347
92;<18;w;nein;0;keiner;Arbeiter;1000-1999;Buch_A;0.9981851235490061;0.9981851235490038;0.0018148764509962056
93;<18;m;nein;0;Realschule;Arbeiter;2000-2999;Buch_C;0.9999999999999952;0.9999999999999922;7.771561172376096E-15
94;19-24;m;nein;0;keiner;Arbeiter;2000-2999;Buch_A;0.9866361612818332;0.9866361612818325;0.013363838718167487
95;25-35;w;nein;0;Realschule;Angestellter;2000-2999;Buch_C;1.000000000000003;0.9999999999999998;2.220446049250313E-16
96;19-24;m;nein;1;Realschule;Arbeitslos;1000-1999;Buch_C;1.0;0.9999999999999994;5.551115123125783E-16
97;50-65;m;ja;1;keiner;Arbeiter;2000-2999;Buch_A;0.8286556241755071;0.8286556241755029;0.17134437582449713
98;19-24;m;nein;0;Hochschule;Angestellter;3000-3999;Buch_C;1.0000000000000007;1.0;0.0
99;>65;m;nein;0;Realschule;Rentner;1000-1999;Buch_C;1.0000000000000022;0.9999999999999999;1.1102230246251565E-16
